customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,Churn_num,TechSupport_num,Faixa_Charges,Faixa_Total
0002orfbo,0.0,female,0,1,1,9,1,0,dsl,No,1,0,1,1,0,one year,1,mailed check,65.6,593.3,,,Média,Baixa
0003mknfe,0.0,male,0,0,0,9,1,1,dsl,No,0,0,0,0,1,month to month,0,mailed check,59.9,542.4,,,Média,Baixa
0004tlhlj,1.0,male,0,0,0,4,1,0,fiber optic,No,0,1,0,0,0,month to month,1,electronic check,73.9,280.85,,,Média,Baixa
0011igkff,1.0,male,1,1,0,13,1,0,fiber optic,No,1,1,0,1,1,month to month,1,electronic check,98.0,1237.85,,,Alta,Média
0013exchz,1.0,female,1,1,0,3,1,0,fiber optic,No,0,0,1,1,0,month to month,1,mailed check,83.9,267.4,,,Alta,Baixa
0013mhzwf,0.0,female,0,0,1,9,1,0,dsl,No,0,0,1,1,1,month to month,1,credit card (automatic),69.4,571.45,,,Média,Baixa
0013smeoe,0.0,female,1,1,0,71,1,0,fiber optic,Yes,1,1,1,1,1,two year,1,bank transfer (automatic),109.7,7904.25,,,Alta,Alta
0014bmaqu,0.0,male,0,1,0,63,1,1,fiber optic,Yes,0,0,1,0,0,two year,1,credit card (automatic),84.65,5377.8,,,Alta,Alta
0015uocoj,0.0,female,1,0,0,7,1,0,dsl,Yes,0,0,0,0,0,month to month,1,electronic check,48.2,340.35,,,Média,Baixa
0016qljis,0.0,female,0,1,1,65,1,1,dsl,Yes,1,1,1,1,1,two year,1,mailed check,90.45,5957.9,,,Alta,Alta
0017dinoc,0.0,male,0,0,0,54,0,0,dsl,Yes,0,0,1,1,0,two year,0,credit card (automatic),45.2,2460.55,,,Média,Alta
0017iudmw,0.0,female,0,1,1,72,1,1,fiber optic,Yes,1,1,1,1,1,two year,1,credit card (automatic),116.8,8456.75,,,Alta,Alta
0018nyrou,0.0,female,0,1,0,5,1,0,fiber optic,No,0,0,0,0,0,month to month,1,electronic check,68.95,351.5,,,Média,Baixa
0019efaep,0.0,female,0,0,0,72,1,1,fiber optic,Yes,1,1,0,1,0,two year,1,bank transfer (automatic),101.3,7261.25,,,Alta,Alta
0019gfntw,0.0,female,0,0,0,56,0,0,dsl,Yes,1,1,1,0,0,two year,0,bank transfer (automatic),45.05,2560.1,,,Média,Alta
0020inwck,0.0,female,0,1,1,71,1,1,fiber optic,No,1,1,0,0,1,two year,1,credit card (automatic),95.75,6849.4,,,Alta,Alta
0020jdnxp,0.0,female,0,1,1,34,0,0,dsl,Yes,0,1,1,1,1,one year,0,mailed check,61.25,1993.2,,,Média,Média
0021ikxgc,0.0,female,1,0,0,1,1,1,fiber optic,No,0,0,0,0,0,month to month,1,electronic check,72.1,72.1,,,Média,Baixa
0022tcjci,1.0,male,1,0,0,45,1,0,dsl,Yes,0,1,0,0,1,one year,0,credit card (automatic),62.7,2791.5,,,Média,Alta
0023hghwl,1.0,male,1,0,0,1,0,0,dsl,No,0,0,0,0,0,month to month,1,electronic check,25.1,25.1,,,Baixa,Baixa
